accounts_opened,bankruptcies,collections,credit_history,credit_inquiries_last_6_months,judgements,past_due_accounts,open_accounts,card_utilization,tax_liens,high_credit_limit,annual_income,historical_result
3,0,3,116,1,3,0,1,0,0,16442,35000,TRUE
3,0,0,75,1,0,0,5,0.857989,0,25914,25000,FALSE
4,0,6,179,1,0,0,26,0.349697,0,143969,41600,FALSE
17,0,0,58,13,0,1,16,0.656744,0,74674,35000,FALSE
1,0,1,263,0,0,0,0,0,0,0,24000,TRUE
4,0,1,188,1,0,0,3,1.016,0,1975,21000,FALSE
0,0,4,150,3,0,1,1,0,0,15733,50000,TRUE
3,0,1,174,13,0,0,4,0.0833333,0,28560,27000,FALSE
2,0,0,98,0,0,0,5,0.561493,0,13400,29000,FALSE
4,0,10,198,8,0,0,5,0,0,6651,30000,FALSE
4,0,2,54,4,0,0,3,0,0,36500,70000,FALSE
0,0,3,96,0,0,0,0,0,0,0,1000,TRUE
2,0,5,328,5,0,0,3,0.433594,0,1024,24000,FALSE
3,0,0,186,1,0,0,6,0.862275,0,75080,36000,FALSE
4,0,3,342,2,0,0,16,0.204238,0,73237,68268,FALSE
7,0,2,247,0,0,0,6,0.641707,0,33784,48000,FALSE
3,0,4,269,0,1,0,2,0,0,12326,40000,FALSE
3,0,1,225,5,0,1,3,0.061,0,45356,36000,FALSE
3,0,5,129,2,0,0,6,0,0,15375,45000,FALSE
2,0,2,91,2,0,0,6,0.813725,0,27425,33410,FALSE
4,0,0,89,2,0,1,3,1.05085,0,31055,77000,TRUE
3,0,2,278,0,0,0,2,0.616915,0,34369,62000,FALSE
0,0,2,145,1,0,0,0,0,0,0,9000,TRUE
29,0,1,284,2,0,0,5,0,0,4208,31000,FALSE
3,0,1,218,3,0,0,3,0,0,21508,65000,FALSE
11,0,3,143,6,0,0,15,0.189022,0,18146,18000,FALSE
1,0,0,129,0,0,0,5,0.470871,0,28700,30000,FALSE
1,0,0,70,0,0,0,2,1.046,0,2041,33108,FALSE
9,3,2,363,6,0,0,10,0,0,14783,40000,TRUE
3,0,1,152,0,0,0,10,0.739568,0,50180,50000,FALSE
3,0,2,121,0,0,1,9,0.873333,0,28000,30472,FALSE
2,0,2,183,1,0,0,2,0,0,18588,40000,FALSE
3,0,0,121,1,0,0,8,0.360237,0,77959,25747,FALSE
3,0,0,414,0,0,0,3,0.981893,0,25350,80000,FALSE
12,0,0,267,8,0,0,12,0.121654,0,129582,36000,FALSE
1,0,5,112,0,0,0,3,0,0,23838,28000,FALSE
7,0,1,236,8,0,0,1,0,0,1960,17400,FALSE
5,0,2,170,0,0,0,6,0.3776,0,23101,40000,FALSE
1,0,2,81,1,0,0,2,0,0,176242,22000,FALSE
1,0,0,93,6,0,0,1,0.118182,0,550,41200,TRUE
8,0,0,225,0,0,0,16,0.597657,0,64897,135000,FALSE
7,0,0,111,8,0,1,7,0.33044,0,35660,65000,FALSE
3,0,0,306,1,0,0,3,0.0796111,0,109800,165000,FALSE
8,0,0,151,3,0,0,11,0.70898,0,33443,29295,FALSE
2,0,2,365,0,0,0,1,0.408333,0,600,24000,FALSE
2,0,0,30,3,0,0,2,0.363478,0,7993,30000,FALSE
7,0,2,100,1,0,0,9,0.608667,0,46996,10459,FALSE
5,0,0,53,1,0,0,6,0.711972,0,42462,32633,FALSE
13,0,2,168,2,0,0,16,0.354113,0,104250,78000,FALSE
4,0,2,35,1,0,0,3,0.515618,0,2273,27000,TRUE
5,0,1,83,7,0,0,12,0,0,31021,26000,FALSE
3,0,0,46,1,0,0,3,0.298,0,30784,25000,FALSE
2,0,0,65,0,0,0,1,0.9655,0,2000,36000,FALSE
7,0,0,66,4,0,0,3,0.398,0,2652,28600,FALSE
6,0,0,429,1,0,0,14,0.871042,0,209586,70000,FALSE
3,0,5,79,3,0,0,6,0,0,10374,30000,FALSE
2,0,0,156,3,0,0,3,0.31194,0,3350,30000,FALSE
3,0,0,36,0,0,0,2,0.916,0,1875,35000,FALSE
2,0,0,221,1,0,1,13,0.851742,0,142374,50000,FALSE
2,0,2,217,1,0,0,12,0.537143,0,58141,29184,FALSE
2,0,2,311,0,0,0,7,1.06459,0,35443,44500,FALSE
2,0,2,116,2,0,0,4,0,0,22421,25000,TRUE
10,0,9,90,5,0,1,7,1.01396,0,77758,50000,FALSE
2,0,5,123,0,0,0,1,0,0,10699,35000,FALSE
6,0,3,108,4,0,0,13,0.393333,0,45986,38480,FALSE
2,0,3,71,2,0,0,6,0.362,0,230000,118000,FALSE
1,0,4,389,2,0,0,5,0.860225,0,282200,49000,FALSE
2,0,0,129,2,0,0,3,0.96,0,89402,51500,FALSE
7,0,0,117,0,0,0,6,0.35,0,62102,62000,FALSE
5,0,0,22,4,0,0,4,0.387692,0,1300,10000,FALSE
5,0,4,151,0,0,0,18,0.77,0,82881,58000,FALSE
3,0,0,114,2,0,0,4,0,0,359010,47200,FALSE
3,0,0,89,0,0,0,2,0.207583,0,12000,18300,FALSE
14,0,0,125,0,0,0,19,0.683242,0,64009,45000,FALSE
6,0,0,181,0,0,0,7,0.545488,0,161313,60000,FALSE
4,0,0,52,2,0,0,3,0.349349,0,51210,38000,FALSE
4,0,0,43,4,0,0,3,0.24699,0,10300,75000,FALSE
4,0,3,255,3,0,0,4,1.01179,0,9532,65000,FALSE
3,0,8,232,1,0,0,8,0,0,42605,30000,FALSE
4,0,0,76,5,0,0,9,0.25543,0,137263,36000,FALSE
4,0,0,21,0,0,0,3,0.81566,0,11750,86000,FALSE
1,0,1,126,0,0,0,4,0,0,17661,26000,TRUE
2,0,5,396,1,0,0,1,0,0,839,2500,TRUE
4,0,0,54,1,0,0,6,0.802069,0,8867,35000,FALSE
3,0,0,62,0,0,0,4,0.93075,0,51582,35360,FALSE
4,0,9,333,0,0,0,15,0.353208,0,50950,45000,FALSE
3,0,0,232,4,0,1,6,1.04458,0,179854,64000,FALSE
8,0,0,75,6,0,0,9,0.572283,0,404724,120000,FALSE
6,0,1,149,2,0,0,4,0.91268,3,9338,57000,FALSE
10,0,0,352,0,0,0,24,0.865083,0,146803,40000,FALSE
3,0,1,119,7,0,0,3,0.9936,0,8249,34000,FALSE
2,0,0,6,4,0,0,2,0.645,0,9695,19200,FALSE
3,0,2,142,0,0,0,14,1.47667,0,29935,50000,TRUE
3,0,0,178,0,0,0,9,0.613231,0,155477,38988,FALSE
3,0,4,189,4,0,0,3,0.186,0,21783,125000,FALSE
0,0,3,153,0,0,0,1,0,0,16781,26000,FALSE
2,0,5,302,3,0,0,12,1.13333,0,100570,35000,FALSE
0,0,3,185,0,0,0,8,0.782,0,33595,35000,FALSE
4,0,1,219,3,0,0,4,0.708789,0,88427,314976,FALSE
0,0,1,32,1,0,0,0,0,0,0,54000,TRUE
5,0,1,117,0,0,0,1,0,0,8580,19200,FALSE
2,0,0,29,1,0,0,2,0.724,0,23000,15000,FALSE
6,0,0,84,0,0,0,6,0.711615,0,59446,110000,FALSE
4,0,1,485,0,0,2,5,1.02133,0,53368,35000,FALSE
22,0,0,230,10,0,0,3,0.368533,0,85750,175000,FALSE
4,0,4,286,4,0,1,8,0.516667,0,58935,52686,FALSE
4,0,3,340,1,0,0,26,0.762413,0,242743,105000,FALSE
1,0,2,66,5,0,0,4,0,0,23637,32000,FALSE
5,0,0,4,14,0,0,6,0.657459,0,37000,63000,FALSE
1,0,0,67,8,0,0,3,0.432096,0,22900,157000,FALSE
5,0,0,91,1,0,0,6,0.126311,0,59395,30000,FALSE
5,0,1,61,0,0,0,12,1.094,0,28240,9000,FALSE
8,0,0,221,1,0,0,7,0.711151,0,41650,70000,FALSE
26,0,9,168,5,0,0,8,0,0,36184,40800,FALSE
1,0,3,166,0,0,0,0,0,0,0,40000,TRUE
1,0,0,210,0,0,0,3,0.62864,0,21712,52000,FALSE
10,0,2,229,2,0,0,10,0.266705,0,263598,100000,FALSE
4,0,0,63,0,0,0,11,0.835714,0,21750,30000,FALSE
10,0,0,137,0,0,0,15,0.624814,0,122064,130000,FALSE
13,0,0,122,1,0,0,13,0.791007,0,55161,48000,FALSE
5,0,0,270,2,0,0,10,0.853736,0,90963,70000,FALSE
4,0,0,226,0,0,0,8,0.0576657,0,105593,300000,FALSE
3,0,5,132,0,0,0,5,0,0,12930,21000,FALSE
18,0,1,137,6,0,0,19,0.934626,0,163985,73000,FALSE
5,0,0,148,0,0,1,4,0.219048,0,21650,55000,FALSE
3,0,1,148,1,0,0,3,1.0925,0,108349,7200,FALSE
0,0,2,165,0,0,0,1,0,0,32,30000,TRUE
9,0,2,138,1,0,0,10,0.381327,0,85424,45000,FALSE
2,0,2,168,0,0,0,1,0,0,9892,67000,FALSE
9,0,0,211,1,0,0,8,0.210846,0,187990,45000,FALSE
2,0,5,259,1,0,0,6,0.68,0,103600,67000,FALSE
1,0,0,15,0,0,0,1,0.753333,0,1200,25000,FALSE
7,0,0,324,5,0,0,7,0.649586,0,67533,120000,FALSE
9,0,0,143,3,0,0,16,0.923008,0,73367,44900,FALSE
7,0,0,176,1,0,0,11,0.625784,0,53381,40000,FALSE
2,0,1,27,0,0,0,4,0.86375,0,21044,18000,FALSE
1,0,0,84,0,0,0,0,0,0,0,50000,TRUE
23,0,0,239,35,0,0,25,0.217245,0,100653,79000,FALSE
1,0,9,129,4,0,0,9,0,0,32366,23000,FALSE
0,0,4,79,0,0,0,1,0,0,21295,16632,FALSE
4,0,3,121,0,0,0,5,0.915278,0,20504,36691,FALSE
11,0,0,98,0,0,0,27,0.232593,0,332754,62400,FALSE
6,0,3,230,6,0,0,2,1.37,0,26091,4000,TRUE
12,0,0,187,2,0,0,20,0.913036,0,107597,47000,FALSE
1,0,3,270,8,0,0,1,0.72475,0,4000,60000,FALSE
2,0,0,109,3,0,0,6,0.885865,0,36000,35000,FALSE
8,0,0,314,4,0,0,11,0.309349,0,584054,170000,FALSE
7,0,0,330,4,0,0,4,0.236615,0,6500,28000,FALSE
2,0,4,208,2,0,0,8,0.935,0,41511,45000,FALSE
5,0,2,115,2,0,0,5,0.807826,0,179562,77000,FALSE
7,0,0,120,0,0,0,22,0.723655,0,81180,30000,FALSE
0,1,8,270,0,0,0,1,0,0,43771,41600,TRUE
2,0,3,72,0,0,0,5,0,0,22934,45000,FALSE
4,0,0,195,5,0,0,7,0.970136,0,43042,35000,FALSE
6,0,0,86,1,0,0,15,0.797436,0,59448,33000,FALSE
3,0,1,225,2,0,0,6,0.470455,0,215119,40000,FALSE
1,0,4,178,0,0,0,7,0.081282,0,21610,40000,FALSE
7,0,0,95,1,0,0,10,0.773902,0,146573,28800,FALSE
5,0,6,115,3,0,0,4,0.903393,0,12572,18108,FALSE
6,0,0,284,0,0,0,5,0,0,265077,42000,FALSE
9,0,0,174,2,0,0,16,0.208331,0,78504,63000,FALSE
5,0,1,143,0,0,0,6,0.868824,0,97399,85000,FALSE
1,0,2,109,0,0,0,1,0,0,36995,45000,TRUE
7,0,1,146,1,0,0,16,0.689195,0,40856,32000,FALSE
8,0,1,45,1,0,0,7,0.37,0,29275,19000,FALSE
1,0,1,170,0,0,0,2,0,0,37048,35000,FALSE
3,0,3,316,1,0,0,5,0.971,0,11516,60000,FALSE
8,0,2,266,7,0,0,8,0.754,0,35362,34000,FALSE
5,0,0,157,1,0,0,6,0.3053,0,62121,60000,FALSE
2,0,0,68,0,0,0,8,0.196667,0,145735,52000,FALSE
1,0,1,256,7,0,0,1,0,0,17416,16000,FALSE
9,0,5,288,2,0,1,3,0.888,0,3527,28000,FALSE
4,0,0,88,0,0,0,7,0.874538,0,25501,35000,FALSE
2,0,0,250,0,0,0,7,0.706212,0,40979,41000,FALSE
0,0,1,311,3,0,0,2,0,0,30088,67000,FALSE
2,0,2,108,0,0,0,2,0,0,5519,18000,FALSE
6,0,0,284,2,0,0,3,0,0,104124,80000,FALSE
1,0,1,115,1,0,0,10,0.232727,0,70831,43500,FALSE
6,0,1,66,6,0,0,5,0.638362,0,70918,22000,FALSE
8,0,6,250,0,0,0,10,1.945,0,78142,60000,TRUE
3,0,1,54,4,0,0,3,1.4,0,4950,20000,FALSE
12,0,2,372,2,0,0,10,0.409709,0,33291,50000,FALSE
2,0,0,45,1,0,0,1,0,0,12064,60000,FALSE
7,0,1,188,3,0,0,9,0.620177,0,74256,32000,FALSE
4,0,3,236,2,0,0,2,0,0,16992,24000,FALSE
2,0,3,97,0,0,0,2,0,0,9500,34000,FALSE
5,0,0,58,1,0,0,13,0.785147,0,55074,55019,FALSE
15,0,1,158,8,1,0,5,0.0157143,0,31194,106000,FALSE
6,0,0,253,2,0,0,12,0.859481,0,106346,46800,FALSE
0,0,0,185,2,0,0,1,0.0376,0,5000,2000,FALSE
5,0,2,117,1,0,0,10,1.2995,0,24418,39000,FALSE
6,0,7,70,6,0,0,14,0.483333,0,57422,50000,FALSE
3,0,0,236,7,0,0,4,0.963333,0,140255,80000,FALSE
2,0,0,71,0,0,0,5,0.647297,0,25896,0,FALSE
1,0,0,129,0,0,0,7,0.764885,0,34705,35000,FALSE
3,0,0,21,1,0,0,2,0.731684,0,3194,45000,FALSE
1,0,2,144,1,0,0,1,0,0,19266,1000,FALSE
7,0,0,134,0,0,0,24,0.766443,0,107074,32000,FALSE
4,0,1,246,4,0,0,5,0.877368,0,61936,30000,FALSE
3,0,7,321,2,0,1,2,0.918393,0,12600,60000,FALSE
9,0,2,305,2,0,0,8,0.821739,0,22895,95000,FALSE
2,0,3,263,0,0,0,11,0.40625,0,45696,25000,FALSE
14,0,1,182,1,0,5,20,1.07216,0,363668,67000,FALSE
13,0,0,151,0,0,0,30,0.633836,0,414340,96000,FALSE
3,1,2,264,10,0,0,1,0,0,24113,41000,FALSE
2,0,5,308,3,0,0,3,0.126364,0,12523,16800,FALSE
3,0,1,110,2,0,0,3,0,0,6083,10000,FALSE
4,0,2,108,17,0,0,3,0,0,64280,110436,FALSE
3,0,8,142,4,0,0,8,0.879372,1,64679,45000,FALSE
3,0,4,134,0,0,0,21,0,0,54537,31000,FALSE
2,0,3,102,0,0,0,4,1.148,0,31305,28000,FALSE
3,0,0,294,2,0,0,3,0.128,0,60997,250000,FALSE
7,0,2,208,6,0,0,13,0.477204,0,38882,52000,FALSE
6,0,3,154,0,0,0,7,0.621027,0,23641,47605,FALSE
1,0,1,46,0,0,0,0,0,0,0,24000,TRUE
3,0,0,111,4,0,0,9,0.518898,0,49857,40000,FALSE
0,0,6,85,1,0,0,2,0,0,9500,22000,FALSE
3,0,0,181,5,0,0,10,0.840427,0,109808,66000,FALSE
12,0,0,355,3,0,0,9,0.558895,0,57797,64000,FALSE
2,0,2,227,3,0,1,10,0.920025,0,107305,70000,FALSE
2,0,0,147,2,0,0,6,0.0535286,0,126383,100000,FALSE
3,0,5,191,2,1,0,1,0,0,1821,15000,TRUE
1,0,0,98,0,0,0,1,0,0,17094,1800,FALSE
2,0,2,149,2,1,0,3,0,0,38650,11424,FALSE
4,0,6,267,0,0,0,9,0,0,135457,28000,FALSE
0,1,3,176,0,0,0,0,0,0,0,55000,TRUE
6,0,2,238,1,0,0,9,0.35493,0,203689,49000,FALSE
3,0,0,135,2,0,0,15,0.980478,0,333965,58000,FALSE
4,0,0,326,0,0,0,5,0.853571,0,64610,32000,FALSE
2,0,2,73,1,0,0,4,0.89,0,126079,47000,FALSE
3,0,0,179,1,0,0,8,0.231974,0,90111,36000,FALSE
5,0,0,216,3,0,0,8,0.790612,0,87530,103000,FALSE
0,0,0,392,0,0,0,4,0.815737,0,181386,120000,FALSE
14,0,0,90,1,0,0,12,0.653022,0,159286,32000,FALSE
9,0,0,282,19,0,3,9,0.98285,0,51077,100000,FALSE
8,0,0,135,3,0,0,6,0.794615,0,139800,98000,FALSE
2,0,2,210,1,0,0,3,0.6235,0,27000,32000,FALSE
22,0,0,349,1,0,0,31,0.563226,0,462002,107000,FALSE
2,0,0,77,2,0,0,2,1.00818,0,2200,0,FALSE
1,0,0,234,1,0,0,2,1.17,0,12280,43000,FALSE
0,0,2,113,9,0,0,0,0,0,0,24000,FALSE
1,0,0,230,0,0,0,1,0,0,9474,16000,FALSE
4,0,2,194,5,0,0,4,0.82,0,41514,50000,FALSE
11,0,2,117,8,0,0,9,0.794321,0,82005,45000,FALSE
3,0,0,91,3,0,0,4,0.852918,0,46502,52000,FALSE
1,0,0,49,1,0,0,1,0,0,400,15000,FALSE
1,0,3,144,0,0,0,3,0,0,35713,15000,FALSE
2,0,1,110,2,0,0,8,0.9725,0,80209,31200,FALSE
6,0,8,95,17,0,0,14,0,0,47583,36000,FALSE
6,0,1,551,0,0,0,6,0.869571,0,35748,86000,FALSE
5,0,2,294,12,0,0,5,0.283636,0,18016,25000,FALSE
3,0,1,87,1,0,0,0,0,0,0,55000,TRUE
2,0,5,99,0,0,0,0,0,0,0,36000,TRUE
3,0,0,92,2,0,0,4,0.42375,0,33684,105000,FALSE
1,0,4,272,0,0,2,3,0,0,51463,28000,TRUE
6,0,0,404,8,0,0,5,0.185464,0,116350,52000,FALSE
0,0,4,335,0,0,0,1,0,0,48215,28000,FALSE
16,0,0,134,2,0,0,19,0.688717,0,289262,68000,FALSE
7,0,7,156,1,0,0,6,0.913992,0,59888,71600,FALSE
1,0,2,178,0,0,1,4,0.384096,0,30250,30000,FALSE
4,0,0,128,1,0,0,5,0.798551,0,26824,5100,FALSE
3,1,0,403,2,0,0,2,0.713,0,3000,74000,FALSE
6,0,2,267,3,0,0,13,1.74837,0,72806,78000,FALSE
6,0,1,157,2,0,0,19,0.585755,0,120005,75000,FALSE
14,0,0,189,3,0,0,11,0.77482,0,9510,40000,FALSE
5,0,3,70,1,0,0,8,0.339231,0,9100,31000,FALSE
2,0,4,87,4,0,0,6,0.771667,0,11713,30000,FALSE
0,0,4,383,1,0,0,1,0,0,13435,1650,FALSE
2,0,1,117,0,0,0,5,0.525714,0,43125,95000,FALSE
4,0,1,308,1,0,0,8,0.718053,0,43300,80000,FALSE
4,0,0,274,0,0,0,10,0.148606,0,1441787,49600,FALSE
9,0,0,36,1,0,0,11,0.914167,0,23178,10000,FALSE
3,0,0,226,0,0,0,4,0.74375,0,139395,27168,FALSE
5,0,0,423,1,0,0,16,0.58682,0,457736,200000,FALSE
1,0,0,82,0,0,0,1,0.576,0,2500,37000,FALSE
2,0,0,171,0,1,0,3,0.332,0,31270,50000,FALSE
0,0,0,36,0,0,0,1,0,0,4952,20000,FALSE
4,0,0,14,2,0,0,3,0.22,0,12180,15000,FALSE
0,0,2,218,1,0,0,1,0,0,4466,10000,FALSE
0,1,1,126,0,0,0,0,0,0,0,15000,TRUE
11,0,0,219,5,0,0,16,0.572336,0,59657,75000,FALSE
20,0,1,211,6,0,0,18,0.818799,0,35592,29000,FALSE
12,0,0,301,1,0,0,14,0.23227,0,181615,72000,FALSE
5,0,0,159,0,0,0,8,0.825098,0,234434,39000,FALSE
12,0,0,135,17,0,0,14,0.712584,0,31967,52000,FALSE
3,0,2,268,1,0,0,2,0,0,10068,25000,FALSE
2,0,1,87,1,0,0,2,0.210625,0,4800,35000,FALSE
10,0,1,102,0,1,0,5,1.202,0,21029,25000,TRUE
3,0,6,200,6,0,0,1,0,0,11242,21600,TRUE
0,0,5,142,1,1,0,1,0,0,9815,24000,FALSE
1,0,4,122,1,0,0,1,0,0,400,75000,FALSE
7,0,0,131,0,0,0,7,0.286915,0,111539,55000,FALSE
6,0,0,121,5,0,0,11,0.731351,0,59721,72000,FALSE
4,0,2,102,1,0,1,18,0.914667,0,77842,39000,FALSE
0,0,2,232,1,0,0,0,0,0,0,48000,TRUE
6,0,0,95,11,0,0,7,0.22102,0,51237,42000,FALSE
5,0,0,203,1,0,0,3,0.0069863,0,25092,48000,FALSE
1,0,1,154,1,0,0,2,0,0,1545,80000,TRUE
3,0,0,249,0,0,0,15,0.421875,0,63270,38000,FALSE
12,0,2,206,8,0,0,17,0.519026,0,163545,45000,FALSE
1,0,2,75,1,0,0,1,0,0,64058,58000,TRUE
0,0,2,227,1,0,1,2,0,0,61883,60000,FALSE
2,0,3,185,2,0,0,0,0,0,0,27542,TRUE
7,0,0,56,2,0,0,9,0.378157,0,39600,45000,FALSE
15,0,7,131,0,0,0,27,1.01437,0,67276,55000,FALSE
3,0,4,110,2,1,0,3,1.3975,0,15439,42000,TRUE
5,0,1,378,0,0,0,5,0.751264,0,8800,32000,FALSE
2,0,6,135,5,0,0,0,0,0,0,30000,TRUE
1,0,1,260,1,0,0,1,0,0,24026,30000,TRUE
0,0,1,239,0,0,0,2,0.93,0,700,24000,FALSE
3,0,0,104,3,0,0,9,0.234777,0,28845,30000,FALSE
4,0,4,195,1,0,0,8,0.229618,0,112477,85000,FALSE
3,0,2,245,3,0,0,4,0.836667,0,25081,25000,FALSE
