accounts_opened_last_24_months,bankruptcies_last_18_months,collections_excluding_medical,credit_history,credit_inquiries_last_6_months,judgements_last_18_months,months_since_most_recent_inquiry,ninety_plus_delinquencies_last_18_months,number_of_accounts_currently_30dpd,open_credit_accounts,pre_loan_debt_to_income,public_records,revolver_utilization,tax_liens_last_18_months,thirty_plus_delinquencies_last_3_months,thirty_plus_delinquencies_last_24_months,total_current_balance,total_high_credit_limit,annual_income,historical_result
0,0,1,115,1,0,4,0,0,0,0.391846,0,0,0,0,0,849,0,26000,Low FICO
12,0,0,190,0,0,10,0,0,17,0.482154,0,0.390706,0,0,0,68370,139871,36882,High FICO
6,0,5,101,6,2,0,8,0,0,5.4228,3,0,0,0,6,20562,0,40000,Low FICO
6,0,0,11,9,0,0,0,0,6,0.3016,0,0.703333,0,2,2,18123,21992,30000,Low FICO
5,0,0,105,0,0,13,0,0,22,0.3188,0,0.349013,0,0,0,84849,142410,60000,High FICO
3,0,1,137,3,0,0,0,0,2,0.122,0,0.857143,0,0,13,1277,1050,42000,Low FICO
8,0,2,73,4,0,1,1,0,8,0.2379,0,0.847576,0,0,0,4485,3300,40000,Mid FICO
7,0,1,88,1,0,3,0,0,7,0.4554,0,0,0,0,3,75642,77680,40000,Mid FICO
2,0,1,84,14,0,1,0,0,1,0.0865714,0,0,0,0,3,5832,6267,28000,Low FICO
0,0,9,253,1,1,2,0,0,0,0.1275,4,0,0,0,0,926,0,40000,Low FICO
5,0,1,248,2,0,0,0,0,6,0.1047,0,0.2525,0,0,0,4514,15470,40000,Mid FICO
5,0,0,279,0,0,NULL,0,0,14,0.169484,0,0.784426,0,0,2,246920,292194,95000,High FICO
2,0,0,254,3,0,0,0,0,1,0.044,1,0,0,0,0,5090,5369,60000,Mid FICO
4,0,2,123,0,0,NULL,0,0,12,0.161261,0,0.627483,0,0,1,47269,67350,97000,High FICO
1,0,1,146,0,0,8,2,0,1,0.208,1,0,0,3,4,691,620,3000,Low FICO
1,0,0,61,4,0,0,0,0,1,0.0696,0,1,0,0,0,1523,1186,50000,Low FICO
2,0,3,117,3,0,1,0,0,0,0.11393,0,0,0,0,1,232,0,24436,Low FICO
0,0,5,376,1,0,1,1,0,0,0,1,0,0,0,0,0,0,18390,Low FICO
2,0,1,188,1,0,0,0,0,1,0.0884082,0,0,0,0,0,11007,13802,49000,Mid FICO
6,0,0,25,9,0,0,6,0,4,6.88941,0,0,0,8,10,11305,10482,1700,Low FICO
5,0,0,143,6,0,0,0,0,7,0.0283333,0,0.143725,0,0,0,7618,53004,72000,High FICO
0,0,5,136,1,0,0,36,0,9,0.081,0,0,0,27,36,15515,14193,24000,Low FICO
3,0,2,110,3,0,1,1,0,5,0.0851429,0,0.650476,0,0,0,6703,13141,42000,Mid FICO
7,0,0,331,4,0,0,0,0,13,0.324457,1,0.465868,0,0,0,106208,146469,105000,High FICO
7,0,1,325,1,0,1,256,0,24,10.9026,0,0.88,0,0,338,123087,67675,78000,Mid FICO
1,0,3,37,1,0,4,2,0,1,3.52908,0,0,0,0,1,5502,4984,2500,Low FICO
2,0,1,252,0,0,NULL,0,0,3,0.0107266,0,0.184194,0,0,0,7202,39100,94000,High FICO
8,0,2,291,1,0,1,1,2,22,0.478889,1,0.890462,0,8,19,112257,138273,54000,Mid FICO
14,0,0,139,4,0,3,0,0,16,0.101804,0,0.138605,0,0,0,105869,131379,67892,High FICO
12,0,5,166,4,0,1,0,0,12,0.09648,0,0.497249,0,0,0,14513,20857,50000,High FICO
12,0,0,85,1,0,4,0,0,27,0.711306,0,0.667237,0,0,1,129632,138948,42200,High FICO
6,0,0,20,2,0,0,0,0,6,0.03,0,1.11247,0,0,0,15704,15557,20000,Mid FICO
0,0,10,85,3,0,1,0,0,0,0.687276,0,0,0,0,0,2338,0,33803,Low FICO
10,0,1,165,8,0,1,0,0,7,0.2115,0,1.017,0,0,0,24673,26650,48000,Mid FICO
1,0,1,192,1,0,1,2,0,2,0.2673,0,0,0,0,3,85358,90254,40000,Low FICO
0,0,2,120,4,0,0,83,0,14,0.27627,0,0,0,26,99,27627,28718,30000,Mid FICO
5,0,0,133,0,0,12,0,0,12,0.2066,0,0.537466,0,0,0,53711,70398,60000,High FICO
1,0,0,77,0,0,8,0,0,3,0.1392,0,0.157727,0,0,0,25768,49468,45000,High FICO
4,0,5,118,1,0,1,1,0,3,3.76818,0,0,0,0,0,40357,20683,65000,Mid FICO
3,0,0,5,4,0,2,0,0,3,0.01656,0,0.477222,0,0,0,859,1800,50000,Mid FICO
7,0,2,130,0,0,8,6,0,13,0.381867,3,0.899048,0,2,32,76909,70447,45000,Low FICO
3,0,8,105,0,0,11,0,0,6,0.28485,0,1.16129,0,0,10,39581,39782,80000,Mid FICO
7,0,2,105,0,0,NULL,1,0,0,0.1626,0,0,0,1,2,240,0,20000,Low FICO
3,0,0,74,1,0,3,0,0,5,0.441821,0,0.926538,0,0,0,49073,52342,34000,High FICO
6,0,1,171,1,0,5,1,0,5,0.574137,0,1.06808,0,3,6,72829,72024,67000,Low FICO
1,0,3,209,2,0,1,24,0,5,0.0397895,0,0,0,1,33,25022,31634,38000,Low FICO
8,0,9,326,1,0,1,1,0,7,1.2372,1,0,0,0,0,27983,28006,30000,Mid FICO
2,0,1,218,5,0,1,0,0,5,0.200435,0,0.276824,0,0,0,111713,206017,110000,High FICO
2,0,4,333,0,1,7,1,0,1,1.25133,2,0,0,0,1,16636,25000,18000,Low FICO
3,0,0,102,0,0,6,0,0,3,0.0205839,0,0.38504,0,0,0,207577,215551,31000,High FICO
2,0,1,49,0,0,8,6,0,3,0.172,0,0.84,0,2,17,1752,1600,33000,Low FICO
1,0,2,329,1,0,2,0,0,3,5.86546,1,0,0,0,2,251797,241048,85000,Mid FICO
13,0,1,41,16,2,0,20,1,6,1.64505,2,0.966,0,9,42,25630,25039,32000,Low FICO
1,0,7,255,5,0,1,0,0,2,1.28709,0,0,0,0,1,40287,35698,35000,Low FICO
3,0,0,39,3,0,4,0,0,4,0.281794,0,0.123333,0,0,0,31735,33350,35000,High FICO
12,0,0,99,0,0,7,0,0,15,0.055988,0,0.182736,0,0,3,30917,64519,75000,High FICO
1,0,0,333,2,0,1,0,0,4,0.0620513,1,0.300636,0,0,0,24418,38955,117000,High FICO
8,0,0,55,0,0,14,0,1,9,0.4035,0,0.94398,0,1,4,41816,45325,32000,Mid FICO
11,0,0,352,2,0,0,0,0,12,0.181393,0,0.956433,0,6,6,24525,29461,70000,Mid FICO
1,0,3,158,1,0,3,0,0,1,0.1878,1,0,0,0,10,22466,14888,60000,Mid FICO
2,0,0,267,0,0,21,0,0,8,0.154473,0,0.45099,0,0,0,342378,406521,82500,High FICO
7,1,2,197,10,2,0,4,0,11,0.407467,3,0.765217,0,0,7,35888,35379,45000,Low FICO
2,0,0,157,0,0,NULL,0,0,4,0.0565385,0,0,0,0,0,5733,6371,31200,High FICO
10,0,1,347,2,0,1,0,0,8,0.122737,1,0.384928,1,0,1,24130,37840,57000,High FICO
1,0,1,124,0,0,NULL,0,0,1,0.0026087,0,0.433333,0,0,0,260,600,69000,Mid FICO
0,0,2,222,0,0,NULL,0,0,0,5.9808,0,0,0,0,2,9968,0,20000,Low FICO
7,0,0,128,0,0,16,0,0,9,0.1418,0,1.00715,0,0,0,32061,35812,90000,High FICO
1,0,0,66,0,0,17,0,0,0,0,0,0,0,0,0,0,0,31200,High FICO
0,0,2,98,1,0,1,0,0,0,39.036,0,0,0,0,0,3253,0,1000,Low FICO
10,0,0,329,12,0,3,0,7,9,0.347529,0,0.812161,0,13,13,42818,43693,51000,Low FICO
2,0,1,76,3,0,0,0,0,0,0.5575,0,0,0,0,0,1115,0,24000,Low FICO
3,0,0,111,1,0,4,0,0,4,0.1072,0,0.916235,0,0,0,11682,12750,45000,High FICO
0,0,5,191,4,0,0,10,0,0,0,0,0,0,0,10,0,0,20000,Low FICO
3,0,0,111,0,0,6,0,0,20,0.1384,0,0.110054,0,0,0,35163,67753,45000,High FICO
2,0,1,102,2,0,1,0,0,3,0.198182,0,0.093743,0,0,0,5947,17900,66000,Mid FICO
1,0,5,393,0,0,6,0,0,2,0.0865846,1,0,0,0,0,48155,43423,130000,Mid FICO
7,0,1,42,4,0,3,3,0,4,0.9584,0,0.0852308,0,4,7,15107,21289,45000,Low FICO
1,0,1,39,2,0,5,1,0,0,0,0,0,0,0,8,0,0,15000,Low FICO
7,0,0,411,0,0,6,0,0,10,0.153078,2,0.621059,0,0,0,293767,381697,115000,High FICO
18,0,0,153,7,0,0,0,0,35,0.213804,0,0.254886,0,0,0,284512,340352,125000,High FICO
3,0,0,88,1,0,1,0,0,14,0.59739,0,0.366034,0,0,0,38465,45750,20000,High FICO
4,0,0,91,14,0,3,4,0,3,0.4016,0,0,0,5,9,12401,12926,15000,Low FICO
1,0,3,200,1,0,1,0,0,6,0.1341,0,0.647,0,0,0,51713,45341,40000,Mid FICO
7,0,0,6,5,0,1,0,0,7,0.015,0,0.132987,0,0,0,1024,7700,80000,Mid FICO
4,0,0,58,0,0,12,0,0,4,0.0939429,0,0.906667,0,0,0,1904,2100,17500,Mid FICO
7,0,0,56,1,0,0,0,0,7,0.426,0,0,0,0,0,40451,42369,16000,High FICO
7,0,0,55,0,0,22,3,0,12,0.686271,0,0,0,0,0,42765,39800,42000,Mid FICO
5,0,0,183,0,0,22,0,0,13,0.403659,0,0.726903,0,0,0,125038,150751,130000,High FICO
0,0,5,63,0,0,12,12,0,2,0.385,1,0,0,2,12,5699,4750,12000,Low FICO
3,0,0,3,1,0,3,0,0,4,0.05625,0,0.145455,0,0,0,1440,9900,16000,High FICO
4,0,0,149,0,0,9,0,0,13,0.171319,0,0.754746,0,0,0,35717,50129,62000,High FICO
2,0,1,113,1,0,1,4,0,1,0.01344,0,0,0,1,5,9595,9013,50000,Mid FICO
11,0,1,135,0,0,6,0,0,10,0.241814,0,0.481417,0,0,0,66736,76034,42000,High FICO
2,0,1,86,0,0,9,0,0,1,0.745333,0,1.08,0,0,0,2061,400,27000,Low FICO
1,0,0,68,1,0,4,0,0,3,0.096204,0,0.0986127,0,0,0,24126,32933,70600,High FICO
5,0,0,40,1,0,1,0,0,5,0.068625,0,0.684938,0,0,0,2774,4050,32000,Mid FICO
1,0,0,193,0,0,NULL,3,0,8,0.116529,0,0.975771,0,3,41,84595,120580,84000,Mid FICO
4,0,0,8,4,0,0,0,0,4,0,0,0,0,0,0,10250,10250,2000,High FICO
2,0,2,95,6,0,4,9,0,5,0.180073,0,0.973333,0,0,17,47664,45429,45000,Mid FICO
16,0,6,133,9,0,0,1,1,11,0.24864,0,0.473333,0,1,1,35106,38672,50000,Mid FICO
6,0,0,31,2,0,0,0,0,4,0.161211,0,0.309733,0,0,1,26328,40995,46000,High FICO
3,0,1,272,2,0,4,2,0,4,1.6154,0,0.938333,0,0,0,238275,235994,60000,Mid FICO
2,0,0,55,2,0,0,1,0,3,0.00312,0,0.25,0,0,0,20701,28033,2400000,Mid FICO
6,0,0,69,7,0,1,0,0,9,0.216,0,0.937407,0,0,1,20278,23232,35000,Mid FICO
2,0,0,302,1,0,1,0,0,2,0.000568696,1,0.716667,1,0,0,3452,6355,4600000,Mid FICO
6,0,4,304,2,0,0,5,0,1,0.421059,0,0,0,0,0,17023,13489,34000,Low FICO
1,0,7,112,2,1,1,0,0,1,0.0130435,1,0.993333,0,0,0,298,300,23000,Low FICO
8,0,4,100,3,0,1,0,0,20,1.98167,0,0.287,0,0,0,93308,86478,53000,Mid FICO
4,0,4,223,4,0,1,3,0,13,1.4217,0,0.723077,0,0,9,76524,54100,40000,Mid FICO
4,0,5,135,13,0,0,1,0,2,0.7245,1,0,0,1,1,23749,25184,32000,Low FICO
3,0,2,61,5,0,1,1,0,3,3.9288,0,0,0,0,0,20923,14849,23000,Mid FICO
2,0,0,102,0,0,6,0,0,4,0.0809302,0,0.720758,0,0,0,82888,81843,43000,Mid FICO
2,0,2,157,6,0,1,0,0,3,1.39275,0,1.27,0,2,3,66008,60118,18000,Low FICO
3,0,2,98,2,0,1,0,0,4,0.0892364,0,0.862222,0,0,0,32378,26901,55000,Mid FICO
4,0,1,30,2,0,0,0,0,3,0.03063,0,0.549565,0,0,0,632,1150,29383,Mid FICO
4,0,5,174,2,0,1,32,0,15,1.15754,1,0.51,0,6,43,198415,153279,65000,Mid FICO
1,0,0,11,0,0,6,0,0,2,0.0318,0,0.735,0,0,0,294,400,20000,High FICO
3,0,3,100,3,0,1,1,0,4,0.3927,0,0.746667,0,0,0,47061,49568,34000,Mid FICO
4,0,0,40,3,0,1,0,0,2,0.183333,0,0.746667,0,0,0,765,600,18000,Mid FICO
2,0,0,131,2,0,0,0,0,4,0.125294,0,0.67913,0,0,0,26638,52141,68000,High FICO
1,0,6,114,0,0,6,0,1,1,5.91758,1,0,0,1,3,7211,7961,728,Low FICO
5,0,0,45,0,0,7,0,0,11,0.88559,0,0.74087,0,0,0,63327,87307,23400,High FICO
5,0,0,250,0,0,13,3,1,6,0.211636,0,1.075,0,4,9,19510,27077,33000,Mid FICO
5,0,0,32,2,0,1,0,0,2,0.0714,0,1.15667,0,0,0,892,975,20000,Mid FICO
2,0,0,166,2,0,0,7,0,7,0.2624,0,0.378933,0,1,13,131104,118807,30000,Mid FICO
7,0,1,119,1,0,4,40,2,17,0.6344,0,0.894051,0,22,42,99151,97746,30000,Low FICO
2,0,0,43,0,0,9,0,0,2,0.0708,0,1.0063,0,0,0,2717,2700,20000,Mid FICO
4,0,2,245,0,0,7,0,0,3,0.132274,0,1.00769,0,0,1,4893,4332,35000,Low FICO
15,0,3,279,9,0,4,1,3,10,2.4472,7,1.05591,0,15,15,52134,46453,30000,Low FICO
4,0,1,101,9,0,0,0,0,3,0.201257,0,0.8875,0,0,0,35529,36499,35000,Mid FICO
19,0,5,87,5,0,0,7,0,7,7.0848,0,0,0,6,6,8348,7710,2500,Low FICO
11,1,0,167,14,0,0,0,0,12,0.452727,2,0.578322,0,0,0,8932,18636,22000,Mid FICO
3,0,1,288,3,0,2,0,0,3,0.545806,0,0.488615,0,0,0,2928,3250,31000,Mid FICO
2,0,4,125,2,0,2,2,0,5,0.159484,0,0,0,0,0,12519,10383,31000,Mid FICO
2,0,1,388,0,0,24,1,0,6,0.112518,0,1.01805,0,0,9,28395,29455,85000,Mid FICO
4,0,9,118,0,0,11,4,0,1,0.402857,0,1.345,0,3,4,1065,200,35000,Low FICO
0,0,8,103,3,0,1,45,0,1,1.4032,3,0,0,0,48,15088,10568,30000,Low FICO
4,0,0,19,6,0,1,1,0,2,0.0334881,0,0.296667,0,0,0,1919,2130,36192,Low FICO
4,0,2,66,1,0,2,3,0,2,0.134211,0,0.992,0,0,10,15917,16877,38000,Low FICO
3,0,0,48,2,0,1,2,0,2,0.921407,0,1.04,0,0,0,11206,10681,19900,Low FICO
6,0,0,125,0,0,7,0,0,9,0.0186667,0,0.974615,0,0,0,26960,26292,36000,Mid FICO
3,0,2,107,3,0,1,25,0,4,13.002,0,0.953333,0,0,42,38969,41925,2000,Low FICO
11,0,0,131,5,0,2,0,0,20,0.29835,0,0.450552,0,0,0,51063,73920,60000,High FICO
3,0,0,172,0,0,17,0,0,7,0.158757,0,0.732984,0,0,0,180078,195820,74000,High FICO
0,0,0,180,1,0,4,0,0,2,11.1519,0,0,0,0,7,46744,42688,40000,Low FICO
1,0,7,161,0,0,6,2,0,1,0.6,0,0,0,3,5,312,480,1200,Low FICO
1,0,4,120,0,0,NULL,1,0,1,0.7488,0,0,0,0,0,240,275,5000,Low FICO
1,0,3,128,0,0,7,1,1,3,0.344,0,1.2875,0,1,10,37882,44853,27000,Low FICO
14,0,3,153,8,0,0,0,0,18,0.221168,0,0.776459,0,0,0,33037,37868,55409,Mid FICO
7,0,4,116,3,0,1,1,0,6,6.82629,2,0,0,0,0,34815,21297,14000,Mid FICO
5,0,0,200,0,0,10,0,0,5,0.2004,0,0.450625,0,0,0,12500,26426,30000,High FICO
4,0,0,25,0,0,NULL,0,0,5,0.0497143,0,0.645455,0,0,0,20100,22050,14000,High FICO
0,0,5,241,3,0,0,1,0,0,2.12317,0,0,0,0,0,5131,0,29000,Low FICO
0,0,1,119,1,1,2,2,1,2,2.06421,1,0,0,1,4,28044,12000,57000,Low FICO
0,0,1,371,0,0,NULL,0,0,0,0,0,0,0,0,4,0,0,30000,Low FICO
4,0,0,207,9,0,2,1,0,11,1.52418,1,0.707533,0,0,18,67306,57845,109822,Mid FICO
8,0,0,64,10,0,0,0,0,9,0.1,0,0.151719,0,0,0,29620,67420,120000,High FICO
7,0,3,105,5,0,1,9,2,9,0.303,0,1.17621,0,8,26,10869,8250,36000,Low FICO
4,0,1,287,5,0,1,1,0,4,43.6582,0,0.973333,0,0,1,30986,15665,2750,Mid FICO
2,0,5,162,3,0,1,0,1,5,0.790507,1,0.748889,0,1,13,89122,89444,43000,Low FICO
1,0,2,187,3,0,0,0,0,3,0.426698,1,0,0,0,10,51258,43501,43000,Low FICO
2,0,5,136,1,0,1,0,0,10,0.765555,3,0.963448,1,0,18,168529,178612,69200,Mid FICO
0,0,2,69,0,0,8,0,0,0,7.4808,0,0,0,0,0,3117,0,5000,Low FICO
0,0,5,179,1,0,1,0,0,1,1.67897,4,0,0,0,0,4897,16000,35000,Low FICO
0,0,4,104,4,0,1,0,0,0,0.0744,0,0,0,0,0,93,0,15000,Low FICO
4,0,1,215,17,0,0,19,0,5,2.68575,1,0.40875,0,3,26,50857,49528,32000,Mid FICO
4,0,2,295,1,0,4,0,0,4,0.183434,0,0.862424,0,0,4,59307,36266,76082,Mid FICO
1,0,1,97,0,0,11,0,0,1,0.00857143,1,0.993333,0,0,0,298,300,35000,Mid FICO
1,0,3,182,1,0,3,0,0,2,0.40512,0,1.06667,0,0,0,21987,21731,25000,Low FICO
3,0,2,130,1,0,5,3,0,2,2.71886,0,0,0,0,4,16145,0,50000,Low FICO
0,0,3,85,2,0,0,95,0,0,3.13371,0,0,0,2,107,9140,0,35000,Low FICO
21,0,0,100,7,0,1,0,0,32,0.40768,0,0.605691,0,0,0,61662,73504,37500,Mid FICO
7,0,0,222,5,0,0,0,0,11,0.182084,6,0.914643,3,0,0,38298,52169,95000,Mid FICO
5,0,0,58,1,0,5,0,0,7,1.35732,0,0.892,0,0,0,42651,40198,10000,High FICO
4,0,0,334,1,0,1,23,1,11,1.12694,0,0.847231,0,19,56,380203,377570,65700,Low FICO
7,0,0,377,0,0,11,19,0,9,1.52767,0,0.734194,0,27,37,44352,48134,36000,Low FICO
1,0,4,146,1,0,2,2,0,0,0,0,0,0,0,8,0,0,21000,Low FICO
1,0,6,170,0,0,NULL,0,0,1,0.2472,0,0,0,0,0,515,1000,25000,Low FICO
1,0,8,197,0,0,6,12,0,1,0.1107,3,0,0,0,11,11134,11891,40000,Mid FICO
1,0,2,78,4,0,1,0,0,2,0.0111607,0,0.543333,0,0,0,31676,31813,26880,Mid FICO
9,0,3,199,7,0,0,2,0,2,0.217915,1,0,0,0,0,25696,26654,94000,Mid FICO
1,0,4,62,12,0,0,0,0,1,0.148,0,0,0,0,0,12053,12160,30000,Low FICO
5,0,1,281,9,0,1,0,0,7,0.225153,0,0.681653,0,0,2,30931,35098,59000,Mid FICO
7,0,0,86,5,0,0,0,0,7,0.124465,0,0.875086,0,0,5,64353,65478,43000,Mid FICO
0,0,4,274,0,0,6,1,0,0,3.2016,0,0,0,0,0,10686,0,40000,Low FICO
0,0,0,284,0,0,NULL,0,0,3,0.0951429,4,0.536308,0,0,2,15209,26445,70000,Mid FICO
2,0,1,179,1,0,5,2,0,2,0.4359,0,1.51333,0,3,4,26200,27409,40000,Low FICO
2,0,5,243,3,0,0,5,0,3,0.121339,0,0.9,0,2,8,24006,24216,54000,Low FICO
2,0,2,156,3,0,0,35,0,7,0.1504,1,0,0,14,35,30779,27332,60000,Low FICO
0,0,0,150,0,0,NULL,2,0,12,5.1816,0,0,0,0,0,47268,110520,25000,High FICO
6,0,0,68,1,0,4,0,0,13,0.77352,0,0.807297,0,0,0,73649,79732,30000,High FICO
2,0,0,57,2,0,1,5,0,3,0.256976,0,0,0,6,16,34670,32704,41000,Low FICO
8,0,0,18,0,0,NULL,0,0,8,0.137143,0,0.144536,0,0,0,10453,14600,7000,High FICO
16,1,0,246,15,0,1,0,0,12,0.274667,1,0.80713,0,0,0,51953,53031,63000,Mid FICO
7,0,1,268,1,0,5,0,0,7,0.5151,2,0.973725,0,0,0,13881,13434,40000,Mid FICO
2,0,0,137,2,0,2,0,0,3,0.0996923,0,0.187333,0,0,0,33747,40339,65000,High FICO
2,0,0,203,1,0,0,0,0,5,0.0812724,1,0.897907,0,0,0,9401,10279,52564,High FICO
5,0,0,114,0,0,NULL,0,0,5,0.231,0,0.683953,0,0,0,14243,20186,24000,High FICO
3,0,0,131,0,0,NULL,32,0,11,0.363833,0,0.687826,0,0,41,61326,59997,36000,High FICO
5,0,6,116,2,0,3,7,0,4,1.905,0,0,0,3,8,34025,21728,36000,Mid FICO
2,0,0,283,2,0,0,1,0,3,0.416421,0,0.50575,0,0,0,3893,4000,57000,High FICO
5,0,0,265,0,0,10,1,0,13,0.202879,0,0.710089,0,0,0,38917,78636,80000,High FICO
0,0,1,199,0,0,9,9,0,4,0.205548,0,0.41102,0,0,14,82769,71256,31000,Mid FICO
6,0,0,88,0,0,9,3,0,7,0.11904,0,0.476,0,0,33,93707,104179,50000,High FICO
3,0,3,78,0,0,NULL,0,0,1,0.027,0,0,0,0,0,200,200,24000,Low FICO
3,0,6,114,4,1,1,4,0,3,0.1576,2,0,0,0,7,21465,26800,30000,Low FICO
10,0,1,200,2,0,4,10,0,22,0.12984,2,1.36286,0,18,21,23467,61099,50000,Low FICO
2,0,1,256,1,0,0,11,0,6,0.158,0,0.7675,0,4,24,3438,11855,30000,Mid FICO
2,0,2,32,4,0,1,7,0,2,1.0008,0,0,0,2,6,27123,28153,15000,Low FICO
3,0,4,268,0,0,11,1,0,2,0.997333,0,0,0,2,4,15857,11393,18000,Low FICO
0,0,17,105,1,0,3,0,0,0,0.232,0,0,0,0,0,6455,0,45000,Low FICO
6,0,0,131,1,0,2,0,0,8,0.520058,0,0.534516,0,0,0,64198,82603,38000,High FICO
8,0,0,270,4,0,1,10,0,10,0.4053,0,0.747811,0,0,11,92023,98719,40000,High FICO
4,0,0,91,4,0,4,4,1,3,0.1328,0,0.500476,0,3,7,27439,29700,45000,Low FICO
1,0,5,39,1,0,3,32,0,1,0.19392,0,0,0,0,40,7224,7400,25000,Low FICO
4,0,4,195,2,0,0,4,0,2,0.32688,0,0,0,0,0,9261,10369,25000,Low FICO
1,0,6,279,1,1,2,0,0,1,0.279534,1,0,0,0,0,17491,12021,34300,Mid FICO
0,0,2,158,0,0,NULL,5,0,5,1.77086,0,0,0,0,5,30979,16797,21000,Mid FICO
2,0,0,30,1,0,0,1,0,2,7.416,0,0,0,2,2,32562,32306,2000,Low FICO
3,0,0,39,1,0,3,0,0,3,0.093,0,0.973966,0,0,0,5649,5800,28000,Mid FICO
2,0,0,78,0,0,12,0,0,12,0.1704,0,0.314055,0,0,0,34301,69277,40000,High FICO
2,0,4,116,0,0,20,0,0,2,0.0768,0,0,0,0,0,6180,6333,10000,Mid FICO
0,0,2,103,0,0,14,0,0,1,0.012,1,0.1615,0,0,0,646,4000,25000,High FICO
4,0,0,75,0,0,9,0,0,4,0.0817714,0,0.596833,0,0,0,286704,294221,70000,High FICO
9,0,0,190,0,0,23,0,0,7,0.0432,0,0.479195,0,0,0,11627,14422,55000,High FICO
9,0,2,117,1,0,1,0,0,4,0.1168,0,0.285926,0,0,0,2702,9450,15000,High FICO
0,0,5,138,3,0,1,0,0,1,0,2,0,1,0,0,7731,9093,31000,Low FICO
2,0,0,248,0,0,7,0,0,4,0.1224,0,0.971623,0,0,0,12936,13960,45000,High FICO
6,0,6,269,0,0,7,3,0,15,2.60236,0,0,0,1,1,49842,35902,22000,Mid FICO
8,0,1,73,7,0,4,0,0,10,0.3288,0,0.391405,0,0,0,51446,68474,50000,High FICO
2,0,2,254,7,1,1,0,2,9,0.211537,2,0.903311,0,3,9,37592,40847,89000,Low FICO
2,0,6,183,0,0,13,1,0,0,0.3576,0,0,0,0,1,894,0,30000,Low FICO
3,0,0,165,2,0,3,0,0,6,3.30716,0,1.00175,0,0,0,99408,67772,67000,Mid FICO
4,0,1,150,1,0,1,2,0,6,0.168,0,0.804444,0,1,1,61792,69847,60000,Mid FICO
6,0,1,133,5,0,0,0,0,6,0.236757,0,0.89111,0,0,0,23475,26098,37000,Mid FICO
3,0,4,114,2,0,0,0,0,2,0.136627,6,0,0,0,0,8197,4486,73000,Mid FICO
